iter	Accuracy	Logloss
0	0.9051987768	0.678576874
1	0.9051987768	0.6688810209
2	0.9113149847	0.6600010273
3	0.9143730887	0.648788139
4	0.9051987768	0.638758685
5	0.9051987768	0.6295464081
6	0.9113149847	0.6177310516
7	0.9204892966	0.6061589229
8	0.9235474006	0.595042949
9	0.9327217125	0.5848703128
10	0.9327217125	0.5751143001
11	0.9296636086	0.5681167816
12	0.9235474006	0.5595603929
13	0.9327217125	0.5439033545
14	0.9327217125	0.5341871877
15	0.9418960245	0.5254720735
16	0.9418960245	0.517371802
17	0.9418960245	0.510027695
18	0.9327217125	0.5034900531
19	0.9327217125	0.4966428669
20	0.9327217125	0.4884317969
21	0.9388379205	0.480781598
22	0.9388379205	0.4709220465
23	0.9388379205	0.4631774821
24	0.9418960245	0.4516741664
25	0.9480122324	0.4411690575
26	0.9480122324	0.4339024087
27	0.9480122324	0.425968409
28	0.9480122324	0.4192668856
29	0.9480122324	0.4132313454
30	0.9480122324	0.4061335596
31	0.9510703364	0.3981445656
32	0.9510703364	0.3936170453
33	0.9510703364	0.3875815748
34	0.9510703364	0.3824656866
35	0.9510703364	0.3775313758
36	0.9510703364	0.3731409685
37	0.9510703364	0.3677311929
38	0.9541284404	0.3616698157
39	0.9541284404	0.3570414917
40	0.9541284404	0.352339272
41	0.9571865443	0.347567398
42	0.9571865443	0.3438989763
43	0.9571865443	0.3377358934
44	0.9602446483	0.3334704473
45	0.9571865443	0.3296931943
46	0.9571865443	0.325762031
47	0.9602446483	0.3209322632
48	0.9602446483	0.3172370353
49	0.9602446483	0.3119844116
50	0.9602446483	0.3071540601
51	0.9602446483	0.3039189795
52	0.9602446483	0.2995332845
53	0.9602446483	0.2961585976
54	0.9633027523	0.2924097935
55	0.9633027523	0.2879620048
56	0.9633027523	0.2833820422
57	0.9633027523	0.2800707352
58	0.9633027523	0.2770569896
59	0.9633027523	0.272074789
60	0.9633027523	0.2686386569
61	0.9633027523	0.2655154691
62	0.9633027523	0.2610956356
63	0.9633027523	0.2571843629
64	0.9633027523	0.2535474667
65	0.9633027523	0.2512372875
66	0.9633027523	0.2484848556
67	0.9633027523	0.2457332414
68	0.9633027523	0.2420929993
69	0.9633027523	0.2392496424
70	0.9633027523	0.2367431737
71	0.9633027523	0.2331802739
72	0.9663608563	0.2309971427
73	0.9663608563	0.2284665209
74	0.9663608563	0.2249291777
75	0.9663608563	0.2224995857
76	0.9663608563	0.2206853006
77	0.9663608563	0.2182440598
78	0.9694189602	0.216300308
79	0.9694189602	0.2131465252
80	0.9694189602	0.2108256537
81	0.9694189602	0.2084834549
