iter	Accuracy	Logloss
82	0.9694189602	0.2060825528
83	0.9694189602	0.2037567921
84	0.9694189602	0.2020499227
85	0.9694189602	0.1993670959
86	0.9694189602	0.1975279907
87	0.9694189602	0.194972155
88	0.9694189602	0.19250395
89	0.9694189602	0.1907837134
90	0.9694189602	0.1889849371
91	0.9694189602	0.1870929903
92	0.9694189602	0.1848261408
93	0.9694189602	0.1822436922
94	0.9694189602	0.1806125483
95	0.9694189602	0.1791082379
96	0.9724770642	0.1768731309
97	0.9724770642	0.1751698133
98	0.9724770642	0.174000466
99	0.9724770642	0.1725060437
100	0.9724770642	0.1709408125
101	0.9724770642	0.1689243059
102	0.9724770642	0.1675340716
103	0.9755351682	0.1654401371
104	0.9724770642	0.1641650728
105	0.9724770642	0.1625138318
106	0.9724770642	0.1606671819
107	0.9724770642	0.1588099574
108	0.9724770642	0.1574281674
109	0.9755351682	0.1553711433
110	0.9755351682	0.1537201807
111	0.9755351682	0.1521975439
112	0.9755351682	0.150553384
113	0.9755351682	0.1491231179
114	0.9755351682	0.1477762851
115	0.9755351682	0.1464966255
116	0.9755351682	0.1453688222
117	0.9755351682	0.1437089197
118	0.9755351682	0.1416768433
119	0.9755351682	0.1404383477
120	0.9755351682	0.1393883795
121	0.9755351682	0.1376210198
122	0.9755351682	0.1360058068
123	0.9755351682	0.1351369038
124	0.9755351682	0.1338050776
125	0.9755351682	0.1325648715
126	0.9755351682	0.1316177267
127	0.9785932722	0.1300317497
128	0.9755351682	0.1290871572
129	0.9785932722	0.1280730541
130	0.9785932722	0.1271636135
131	0.9785932722	0.1262723598
132	0.9785932722	0.1245616265
133	0.9785932722	0.1231466087
134	0.9785932722	0.1220397099
135	0.9785932722	0.1208441314
136	0.9785932722	0.1193982889
137	0.9785932722	0.1186801872
138	0.9785932722	0.1171508205
139	0.9785932722	0.1158855424
140	0.9816513761	0.1150394889
141	0.9816513761	0.1141663647
142	0.9816513761	0.1127014882
143	0.9816513761	0.1118707948
144	0.9816513761	0.1108284101
145	0.9816513761	0.1099073606
146	0.9816513761	0.1089791889
147	0.9816513761	0.1082291651
148	0.9816513761	0.1069336679
149	0.9816513761	0.1061515018
150	0.9816513761	0.1053134816
151	0.9816513761	0.1046607887
152	0.9816513761	0.1039166461
153	0.9816513761	0.103325334
154	0.9816513761	0.1026927345
155	0.9816513761	0.1016117286
156	0.9816513761	0.1009540036
157	0.9816513761	0.1003457502
158	0.9816513761	0.09994618693
159	0.9816513761	0.09905287576
160	0.9816513761	0.09855802377
161	0.9816513761	0.097896429
162	0.9816513761	0.09709219743
163	0.9816513761	0.09619131766
164	0.9816513761	0.09552048655
165	0.9847094801	0.09493539153
166	0.9847094801	0.09385513638
167	0.9847094801	0.09323839892
168	0.9847094801	0.09206786974
169	0.9847094801	0.09108665851
170	0.9847094801	0.09066817315
171	0.9847094801	0.09006604291
172	0.9847094801	0.08956210108
173	0.9847094801	0.08898290494
174	0.9908256881	0.08793334294
175	0.993883792	0.08709343858
176	0.993883792	0.08659302603
177	0.993883792	0.08614209674
178	0.993883792	0.08538943623
179	0.993883792	0.08493378064
180	0.993883792	0.08442490119
181	0.993883792	0.08398389166
182	0.993883792	0.08369280617
183	0.993883792	0.08319855731
184	0.993883792	0.08266475488
185	0.993883792	0.08195445869
186	0.996941896	0.08098278917
187	0.996941896	0.08058158103
188	0.996941896	0.07989471705
189	0.996941896	0.07932497492
190	0.996941896	0.07896385191
191	0.996941896	0.07861594968
192	0.996941896	0.07815026835
193	0.996941896	0.07776600932
194	0.996941896	0.0772199208
195	0.996941896	0.07647268966
196	0.996941896	0.07571853304
197	0.996941896	0.0754551808
198	0.996941896	0.0749315822
199	0.996941896	0.07397620278
200	0.996941896	0.07364421954
201	0.996941896	0.07341398006
202	0.996941896	0.07300065387
203	0.996941896	0.07262851033
204	0.996941896	0.07223388061
205	0.996941896	0.07186818694
206	0.996941896	0.07145112595
207	0.996941896	0.07138398659
208	0.996941896	0.07129127497
209	0.996941896	0.07082976855
210	0.996941896	0.07046006486
211	0.996941896	0.07035759169
212	0.996941896	0.07001660774
213	0.996941896	0.06994415551
214	0.996941896	0.06959228373
215	0.996941896	0.06924614573
216	0.996941896	0.0691183848
217	0.996941896	0.06873710195
218	0.996941896	0.06861522935
219	0.996941896	0.0682143905
220	0.996941896	0.06789331606
221	0.996941896	0.06756419519
222	0.996941896	0.06747349045
223	0.996941896	0.06739499266
224	0.996941896	0.06708947106
225	0.996941896	0.06672112476
226	0.996941896	0.06627520697
227	0.996941896	0.06596388643
228	0.996941896	0.06553479462
229	0.996941896	0.06534797386
230	0.996941896	0.06496180029
231	0.996941896	0.06445550458
232	0.996941896	0.06437700654
233	0.996941896	0.06390394628
234	0.996941896	0.06365546814
235	0.996941896	0.06330668513
236	0.996941896	0.0632257256
237	0.996941896	0.06284723099
238	0.996941896	0.06250252035
239	0.996941896	0.06216159675
240	0.996941896	0.06184613024
241	0.996941896	0.06144667574
242	1	0.06137793512
243	1	0.06107164433
244	1	0.06079886974
245	1	0.06038577168
246	1	0.06030365573
247	1	0.06007074142
248	1	0.05970953782
249	1	0.05964421849
250	1	0.05934512569
251	1	0.05900505483
252	1	0.05880381605
253	1	0.05851114341
254	1	0.05847166732
255	1	0.05805062426
256	1	0.0579941025
257	1	0.05773035619
258	1	0.05743204509
259	1	0.05700000405
260	1	0.05660287759
261	1	0.05651555501
262	1	0.05646501525
263	1	0.05641827033
264	1	0.05608952155
265	1	0.05603101341
266	1	0.05574382303
267	1	0.05538597128
268	1	0.05534383763
269	1	0.05508145597
270	1	0.05502473545
271	1	0.05482464832
272	1	0.0545455092
273	1	0.0542853114
274	1	0.05422903002
275	1	0.05408264584
276	1	0.05405106651
277	1	0.0534799728
278	1	0.05320169518
279	1	0.05272522841
280	1	0.05242335666
281	1	0.05216701438
282	1	0.05197842751
283	1	0.0517625036
284	1	0.05153102347
285	1	0.05149532105
286	1	0.0514510773
287	1	0.05120258496
288	1	0.05096844771
289	1	0.05090533347
290	1	0.05072971984
291	1	0.05044041929
292	1	0.05038920046
293	1	0.05035299207
294	1	0.0501266297
295	1	0.04988220727
296	1	0.04963293979
297	1	0.04932548774
298	1	0.04911384969
299	1	0.04884977312
300	1	0.04881065496
301	1	0.0485899129
302	1	0.04847474041
303	1	0.04819724163
304	1	0.04816476073
305	1	0.04813373725
306	1	0.04782043657
307	1	0.04759798963
308	1	0.04739174636
309	1	0.04735453178
310	1	0.04709799089
311	1	0.0468363982
312	1	0.04672489116
313	1	0.04667380639
314	1	0.04661872391
315	1	0.04649381037
316	1	0.046447513
317	1	0.04641293288
318	1	0.04613253828
319	1	0.04609348409
320	1	0.04585217224
321	1	0.04582663322
322	1	0.04562466617
323	1	0.04537452755
324	1	0.0451596656
325	1	0.0448292706
326	1	0.04479389743
327	1	0.04475494361
328	1	0.04450799276
329	1	0.04430485544
330	1	0.04424941201
331	1	0.04420184083
332	1	0.04399404202
333	1	0.04376279753
334	1	0.04372815766
335	1	0.04369031729
336	1	0.04347286374
337	1	0.04329166751
338	1	0.0432667371
339	1	0.04302316416
340	1	0.04278882931
341	1	0.04256597595
342	1	0.04229075007
343	1	0.04225498202
344	1	0.04206485641
345	1	0.04189569099
346	1	0.04166433823
347	1	0.04143363957
348	1	0.04139858699
349	1	0.04126852871
350	1	0.04123037008
351	1	0.04118072937
352	1	0.04115086476
353	1	0.04111829074
354	1	0.04090831722
355	1	0.04068009752
356	1	0.04065482917
357	1	0.04031991604
358	1	0.04028209966
359	1	0.04009361579
360	1	0.04005531046
361	1	0.03972810686
362	1	0.03969569137
363	1	0.03966993027
364	1	0.03951632055
365	1	0.0393172675
366	1	0.03929207023
367	1	0.03914616288
368	1	0.03892873845
369	1	0.03875171487
370	1	0.03853833337
371	1	0.03835356669
372	1	0.03818878189
373	1	0.0380102178
374	1	0.03780466828
375	1	0.03778700144
376	1	0.03759540025
377	1	0.03747799944
378	1	0.0373362372
379	1	0.03718609634
380	1	0.03708892847
381	1	0.03693920448
382	1	0.03664064464
383	1	0.0364838881
384	1	0.03628356646
385	1	0.03626472505
386	1	0.03603221668
387	1	0.03588238871
388	1	0.03566897662
389	1	0.03550887309
390	1	0.03529142353
391	1	0.03509881306
392	1	0.0350711995
393	1	0.03492306273
394	1	0.03474326478
395	1	0.03457544879
396	1	0.03455717958
397	1	0.03440888538
398	1	0.03420805037
399	1	0.03408301947
400	1	0.03386503196
401	1	0.03369798623
402	1	0.03356887348
403	1	0.033444093
404	1	0.03331140219
405	1	0.03313627901
406	1	0.03298438722
407	1	0.03284422045
408	1	0.03268143547
409	1	0.03249426953
410	1	0.03226314983
411	1	0.03199665339
412	1	0.03197941038
413	1	0.03181853123
414	1	0.03160226838
415	1	0.03150953303
416	1	0.03136433663
417	1	0.03124751674
418	1	0.03107178864
419	1	0.03089977401
420	1	0.03074278792
421	1	0.03067825839
422	1	0.03051976507
423	1	0.03037430725
424	1	0.03020031178
425	1	0.03008214387
426	1	0.02994998683
427	1	0.029937954
428	1	0.02982843651
429	1	0.02966652007
430	1	0.02953578583
431	1	0.02939394871
432	1	0.02928380344
433	1	0.02917937087
434	1	0.02916067393
435	1	0.0290185893
436	1	0.02889539445
437	1	0.02888228511
438	1	0.02878188305
439	1	0.02858673706
440	1	0.02847738871
441	1	0.02846365233
442	1	0.02833008839
443	1	0.02830794217
444	1	0.0281881001
445	1	0.0280664805
446	1	0.02805155845
447	1	0.02795119636
448	1	0.02785980275
449	1	0.02775675385
450	1	0.02760732204
451	1	0.02744751426
452	1	0.02735567378
453	1	0.0272269998
454	1	0.02720755521
455	1	0.02705213843
456	1	0.0269226775
457	1	0.02680425575
458	1	0.02667578571
459	1	0.02655506675
460	1	0.02644381832
461	1	0.02635856061
462	1	0.02634031458
463	1	0.02623735329
464	1	0.02613607404
465	1	0.02611867305
466	1	0.02605166003
467	1	0.02593969078
468	1	0.0258392106
469	1	0.02565754458
470	1	0.02558867042
471	1	0.0254553306
472	1	0.02536489915
473	1	0.02528552526
474	1	0.02527637285
475	1	0.02514393643
476	1	0.02512728468
477	1	0.02504992558
478	1	0.02494784605
479	1	0.0248665886
480	1	0.02479166183
481	1	0.02470211056
482	1	0.02461411575
483	1	0.02449258155
484	1	0.02448299107
485	1	0.02446672289
486	1	0.02445542908
487	1	0.024302233
488	1	0.02416552182
489	1	0.02408411047
490	1	0.02395769921
491	1	0.02386261896
492	1	0.0237514738
493	1	0.02366304384
494	1	0.02354288609
495	1	0.02353229846
496	1	0.0234475133
497	1	0.02334261548
498	1	0.02321389026
499	1	0.0232049809
500	1	0.02311437492
501	1	0.02310266816
502	1	0.02302943588
503	1	0.02291782779
504	1	0.0228317256
505	1	0.02281884487
506	1	0.02270007346
507	1	0.02260158126
508	1	0.02247169799
509	1	0.02246150228
510	1	0.02237149142
511	1	0.0222644669
512	1	0.02225350525
513	1	0.02224308594
514	1	0.02217469377
515	1	0.02210163614
516	1	0.0220378256
517	1	0.02195049176
518	1	0.02185497001
519	1	0.02176213553
520	1	0.02166680908
521	1	0.02157635963
522	1	0.02156768598
523	1	0.02147134071
524	1	0.02137534589
525	1	0.02135921272
526	1	0.02135031248
527	1	0.02123406984
528	1	0.02116164529
529	1	0.02104089061
530	1	0.02101195257
531	1	0.02092172827
532	1	0.02082936485
533	1	0.02073335698
534	1	0.02064839718
535	1	0.0206414012
536	1	0.02063098823
537	1	0.02058610033
538	1	0.02057693653
539	1	0.02056023348
540	1	0.0204756902
541	1	0.02039578547
542	1	0.02034620144
543	1	0.02024220048
544	1	0.02019479252
545	1	0.02013882279
546	1	0.02005848478
547	1	0.01999788286
548	1	0.01998796435
549	1	0.01990266597
550	1	0.01980795355
551	1	0.01974634683
552	1	0.01968022736
553	1	0.01956164807
554	1	0.01943713351
555	1	0.01936445738
556	1	0.01930708845
557	1	0.01925168742
558	1	0.01919615004
559	1	0.01912511854
560	1	0.01900713318
561	1	0.01892546217
562	1	0.01883393573
563	1	0.01875232854
564	1	0.01868020725
565	1	0.01866974553
566	1	0.01860550391
567	1	0.01858919317
568	1	0.01851555232
569	1	0.01850279326
570	1	0.01837239211
571	1	0.01831431628
572	1	0.01826680322
573	1	0.01825638563
574	1	0.0182288917
575	1	0.01814524363
576	1	0.01806684905
577	1	0.01800010296
578	1	0.01798142982
579	1	0.01790128541
580	1	0.0178907987
581	1	0.01783466591
582	1	0.01782716802
583	1	0.01780384429
584	1	0.01770731728
585	1	0.01763674271
586	1	0.01755142806
587	1	0.01749754318
588	1	0.01743048281
589	1	0.01737163151
590	1	0.01730114679
591	1	0.01723762252
592	1	0.01717268349
593	1	0.01711920025
594	1	0.01703588016
595	1	0.01696774038
596	1	0.01695569935
597	1	0.01694757751
598	1	0.01690043356
599	1	0.01683505728
